Source	target	Link
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=8yqX7m6wJN8	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=npui2mJCChA	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=npui2mJCChA	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=7KzHrL8_mWA	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=7_O9Q8GdLnc	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=rqIhMd9JEdE	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=rqIhMd9JEdE	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=gCyjzGH8FH4	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=1FdvZjFa5pM	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=DOOnw7Yv9oQ	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=RVYsMvfyxeQ	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=Q3MjRHCX76A	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=8yqX7m6wJN8	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=pAxiUUCPs6Y	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=iNGd64nt2Wk	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=6Xs0FA5M5Lc	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=Q3MjRHCX76A	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=WaeZO1HkFKY	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=7KzHrL8_mWA	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=prRokei1Xus	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=6Xs0FA5M5Lc	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=wwsv4hJlmjc	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=iNGd64nt2Wk	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=RVYsMvfyxeQ	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=AWvhgFl35-Q	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=iNGd64nt2Wk	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=npui2mJCChA	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=DOOnw7Yv9oQ	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=KvpnMooNWQg	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=iNGd64nt2Wk	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=RVYsMvfyxeQ	1
https://www.youtube.com/user/FoxNewsChannel/videos	https://www.youtube.com/watch?v=wwsv4hJlmjc	1
